time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,0,0,21,2
2024-11-16 00:00:00+00:00,0,0,1,1
2024-11-17 00:00:00+00:00,0,0,11,1
2024-11-18 00:00:00+00:00,9,2,17,3
2024-11-19 00:00:00+00:00,0,0,4,2
2024-11-20 00:00:00+00:00,28,1,37,2
2024-11-21 00:00:00+00:00,1,1,18,4
2024-11-22 00:00:00+00:00,53,4,53,4
2024-11-23 00:00:00+00:00,0,0,5,3
2024-11-24 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,0,0,8,3
2024-11-26 00:00:00+00:00,13,3,4,3
2024-11-27 00:00:00+00:00,69,5,62,2
2024-11-28 00:00:00+00:00,82,7,23,3
2024-11-29 00:00:00+00:00,40,3,19,2
2024-11-30 00:00:00+00:00,1,1,47,3
2024-12-02 00:00:00+00:00,5,3,9,4
2024-12-03 00:00:00+00:00,2,2,18,4
2024-12-04 00:00:00+00:00,0,0,14,4
